timestamp,city,forecast_date,temperature,temperature_min,temperature_max,condition,wind,humidity,pressure,visibility,dew_point,feels_like
2026-04-27 02:18:18,manila,,29 °C,Isolated tstorms. Mostly cloudy.,36 / 27 °C,42 °C,9 km/h,↑,1011 mbar,8 km,23 °C,32 °C
2026-04-27 02:18:18,manila,,29 °C,Showers late. Cloudy.,36 / 27 °C,40 °C,9 km/h,↑,1011 mbar,8 km,23 °C,32 °C
2026-04-27 02:18:18,manila,,29 °C,Showers late. Mostly cloudy.,37 / 27 °C,41 °C,9 km/h,↑,1011 mbar,8 km,23 °C,32 °C
2026-04-27 02:18:18,manila,,29 °C,Showers late. Overcast.,36 / 27 °C,40 °C,9 km/h,↑,1011 mbar,8 km,23 °C,32 °C
2026-04-27 02:18:18,manila,,29 °C,Isolated tstorms. Cloudy.,36 / 27 °C,42 °C,9 km/h,↑,1011 mbar,8 km,23 °C,32 °C
2026-04-27 02:18:18,manila,,29 °C,Isolated tstorms late. Overcast.,36 / 26 °C,42 °C,9 km/h,↑,1011 mbar,8 km,23 °C,32 °C
2026-04-27 02:18:18,manila,,29 °C,Isolated tstorms late. Overcast.,35 / 27 °C,42 °C,9 km/h,↑,1011 mbar,8 km,23 °C,32 °C
2026-04-27 02:18:29,manila,,29 °C,Isolated tstorms. Mostly cloudy.,36 / 27 °C,42 °C,9 km/h,↑,1011 mbar,8 km,23 °C,32 °C
2026-04-27 02:18:29,manila,,29 °C,Showers late. Cloudy.,36 / 27 °C,40 °C,9 km/h,↑,1011 mbar,8 km,23 °C,32 °C
2026-04-27 02:18:29,manila,,29 °C,Showers late. Mostly cloudy.,37 / 27 °C,41 °C,9 km/h,↑,1011 mbar,8 km,23 °C,32 °C
2026-04-27 02:18:29,manila,,29 °C,Showers late. Overcast.,36 / 27 °C,40 °C,9 km/h,↑,1011 mbar,8 km,23 °C,32 °C
2026-04-27 02:18:29,manila,,29 °C,Isolated tstorms. Cloudy.,36 / 27 °C,42 °C,9 km/h,↑,1011 mbar,8 km,23 °C,32 °C
2026-04-27 02:18:29,manila,,29 °C,Isolated tstorms late. Overcast.,36 / 26 °C,42 °C,9 km/h,↑,1011 mbar,8 km,23 °C,32 °C
2026-04-27 02:18:29,manila,,29 °C,Isolated tstorms late. Overcast.,35 / 27 °C,42 °C,9 km/h,↑,1011 mbar,8 km,23 °C,32 °C
2026-04-27 02:18:40,manila,,29 °C,Isolated tstorms. Mostly cloudy.,36 / 27 °C,42 °C,9 km/h,↑,1011 mbar,8 km,23 °C,32 °C
2026-04-27 02:18:40,manila,,29 °C,Showers late. Cloudy.,36 / 27 °C,40 °C,9 km/h,↑,1011 mbar,8 km,23 °C,32 °C
2026-04-27 02:18:40,manila,,29 °C,Showers late. Mostly cloudy.,37 / 27 °C,41 °C,9 km/h,↑,1011 mbar,8 km,23 °C,32 °C
2026-04-27 02:18:40,manila,,29 °C,Showers late. Overcast.,36 / 27 °C,40 °C,9 km/h,↑,1011 mbar,8 km,23 °C,32 °C
2026-04-27 02:18:40,manila,,29 °C,Isolated tstorms. Cloudy.,36 / 27 °C,42 °C,9 km/h,↑,1011 mbar,8 km,23 °C,32 °C
2026-04-27 02:18:40,manila,,29 °C,Isolated tstorms late. Overcast.,36 / 26 °C,42 °C,9 km/h,↑,1011 mbar,8 km,23 °C,32 °C
2026-04-27 02:18:40,manila,,29 °C,Isolated tstorms late. Overcast.,35 / 27 °C,42 °C,9 km/h,↑,1011 mbar,8 km,23 °C,32 °C
